ID,ano,numero_questao,enunciado,alternativas,resposta_correta,prova_cor
1,2009,171,"A população brasileira sabe, pelo menos intuitivamente, que a probabilidade de acertar as seis dezenas da mega sena não é zero, mas é quase.Mesmo assim, milhões de pessoas são atraídas por essa loteria, especialmente quando o prêmio se acumula em valores altos. Até junho de 2009, cada aposta de seis dezenas, pertencentes ao conjunto {01, 02, 03, ..., 59, 60}, custava R$ 1,50.Disponível em: www.caixa.gov.br. Acesso em: 7 jul. 2009.Considere que uma pessoa decida apostar exatamente R$ 126,00 e que esteja mais interessada em acertar apenas cinco das seis dezenas da mega sena, justamente pela dificuldade desta última. Nesse caso, é melhor que essa pessoa faça 84 apostas de seis dezenas diferentes, que não tenham cinco números em comum, do que uma única aposta com nove dezenas, porque a probabilidade de acertar a quina no segundo caso em relação ao primeiro é, aproximadamente,",a)1*1/2 vez menor.   b)2*1/2  vezes menor.   c) 4 vezes menor.   d) 9 vezes menor.   e) 14 vezes menor.,C,verde
2,2009,165,"Doze times se inscreveram em um torneio de futebol amador. O jogo de abertura do torneio foi escolhido da seguinte forma: primeiro foram sorteados 4 times para compor o Grupo A. Em seguida, entre os times do Grupo A, foram sorteados 2 times para realizar o jogo de abertura do torneio, sendo que o primeiro deles jogaria em seu próprio campo, e o segundo seria o time visitante. A quantidade total de escolhas possíveis para o Grupo A e a quantidade total de escolhas dos times do jogo de abertura podem ser calculadas através de","a) uma combinação e um arranjo, respectivamente.b) um arranjo e uma combinação, respectivamente.c) um arranjo e uma permutação, respectivamente.d) duas combinações.e) dois arranjos.",A,verde
3,2009,157,"Uma empresa que fabrica esferas de aço, de 6 cm de raio, utiliza caixas de madeira, na forma de um cubo, para transportá-las.Sabendo que a capacidade da caixa é de 13.824 cm³, então o número máximo de esferas que podem ser transportadas em uma caixa é igual a","a) 4.   

b) 8.   

c) 16.   

d) 24.   

e) 32.",,verde
4,2010,137,"No monte de Cerro Armazones, no deserto de Atacama, no Chile, ficara o maior telescópio da superfície terrestre, o Telescópio Europeu Extremamente Grande (E-ELT). O E-ELT terá um espelho primário de 42 m de diâmetro, “o maior olho do mundo voltado para o céu”. Disponível em: http://www.estadao.com.br. Acesso em: 27 abr. 2010 (adaptado). Ao ler esse texto em uma sala de aula, uma professora fez uma suposição de que o diâmetro do olho humano mede aproximadamente 2,1 cm.Qual a razão entre o diâmetro aproximado do olho humano, suposto pela professora, e o diâmetro do espelho primário do telescópio citado?",a) 1 : 20    b) 1 : 100    c) 1 : 200   d) 1 : 1000    e) 1 : 2000,E,verde
5,2010,155,"Uma escola recebeu do governo uma verba de R$ 1000,00 para enviar dois tipos de folhetos pelo correio. O diretor da escola pesquisou que tipos de selos deveriam ser utilizados. Concluiu que, para o primeiro tipo de folheto, bastava um selo de R$ 0,65 enquanto para folhetos do segundo tipo seriam necessários três selos, um de R$ 0,65, um de R$ 0,60 e um de R$ 0,20. O diretor solicitou que se comprassem selos de modo que fossem postados exatamente 500 folhetos do segundo tipo e uma quantidade restante de selos que permitisse o envio do máximo possível de folhetos do primeiro tipo.Quantos selos de R$ 0,65 foram comprados?",a) 476    b) 675    c) 923  d) 965   e) 1 538,C,verde
6,2010,139,"Uma fábrica produz barras de chocolates no formato de paralelepípedos e de cubos, com o mesmo volume. As arestas da barra de chocolate no formato de paralelepípedo medem 3 cm de largura, 18 cm de comprimento e 4 cm de espessura.Analisando as características das figuras geométricas descritas, a medida das arestas dos chocolates que têm o formato de cubo é igual a",a) 5 cm.    b) 6 cm.    c) 12 cm.   d) 24 cm.   e) 25 cm.,B,verde
7,2011,148,"Em 2010, um caos aéreo afetou o continente europeu, devido à quantidade de fumaça expelida por um vulcão na Islândia, o que levou ao cancelamento de inúmeros voos.  Cinco dias após o inicio desse caos, todo o espaço aéreo europeu acima de 6 000 metros estava liberado, com exceção do espaço aéreo da Finlândia. Lá, apenas voos internacionais acima de 31 mil pés estavam liberados. Disponível em: http://www1.folha.uol.com.br. Acesso em: 21 abr. 2010 (adaptado).Considere que 1 metro equivale a aproximadamente 3,3 pés.  Qual a diferença, em pés, entre as altitudes liberadas na Finlândia e no restante do continente europeu cinco dias após o início do caos?",a) 3390 pés.   b) 9390 pés.   c) 11200 pés.   d) 19800 pés.   e) 50800 pés.,C,verde
8,2011,153,"Observe as dicas para calcular a quantidade certa de alimentos e bebidas para as festas de fim de ano:• Para o prato principal, estime 250 gramas de carne para cada pessoa.• Um copo americano cheio de arroz rende o suficiente para quatro pessoas.• Para a farofa, calcule quatro colheres de sopa por convidado.• Uma garrafa de vinho serve seis pessoas.• Uma garrafa de cerveja serve duas.• Uma garrafa de espumante serve três convidados. Quem organiza festas faz esses cálculos em cima do total de convidados, independente do gosto de cada um. Quantidade certa de alimentos e bebidas evita o desperdício da ceia. Jornal Hoje. 17 dez. 2010 (adaptado).Um anfitrião decidiu seguir essas dicas ao se preparar para receber 30 convidados para a ceia de Natal. Para seguir essas orientações à risca, o anfitrião deverá dispor de","a) 120 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.b) 120 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 30 de cerveja e 10 de espumante.c) 75 kg de carne. 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa. 5 garrafas de vinho,  15 de cerveja e 10 de espumante.d) 7,5 kg de carne, 7 copos americanos, 120 colheres de sopa de farofa, 5 garrafas de vinho, 30 de cerveja e 10 de espumante.e) 7,5 kg de carne, 7 copos americanos e meio de arroz, 120 colheres de sopa de farofa, 5 garrafas de vinho, 15 de cerveja e 10 de espumante.",E,verde
9,2011,156,"O saldo de contratações no mercado formal no setor varejista da região metropolitana de São Paulo registrou alta. Comparando as contratações deste setor no mês de fevereiro com as de janeiro deste ano, houve incremento de 4.300 vagas no setor, totalizando 880.605 trabalhadores com carteira assinada.Disponível em: http://www.folha.uol.com.br. Acesso em: 26 abr. 2010 (adaptado).Suponha que o incremento de trabalhadores no setor varejista seja sempre o mesmo nos seis primeiros meses do ano. Considerando-se que y e x representam, respectivamente, as quantidades de trabalhadores no setor varejista e os meses, janeiro sendo o primeiro, fevereiro, o segundo, e assim por diante, a expressão algébrica que relaciona essas quantidades nesses meses é",a) y = 4300xb) y = 884905 * xc) y = 872005 + 4300xd) y = 876305 + 4300xe) y = 880605 + 4300x,C,verde
10,2011,136,"O dono de uma oficina mecânica precisa de um pistão das partes de um motor, de 68 mm de diâmetro, para o conserto de um carro. Para conseguir um, esse dono vai até um ferro velho e lá encontra pistões com diâmetros iguais a 68,21 mm; 68,102 mm; 68,001 mm; 68,02 mm e 68,012 mm. Para colocar o pistão no motor que está sendo consertado, o dono da oficina terá de adquirir aquele que tenha o diâmetro mais próximo do que ele precisa. Nessa condição, o dono da oficina deverá comprar o pistão de diâmetro:","a) 68,21 mm.b) 68,102 mm.c) 68,02 mm.d) 68,012 mm.e) 68,001 mm.",E,verde
